Product;Description;Depot PF OUED SMAR Bisma;RDC ALGER;RDC ANNABA;RDC EULMA;RDC ORAN;USINE DE FABRICATION
;;105 / Stock;401 / Stock;404 / Stock;402 / Stock;403 / Stock;21 / Stock
P540BFS;  Refregirateur 540 L Inox Combiné, Bottom Mounted Freezer (A+);0;19.0;0.0;23.0;1.0;0
P550TMS;  Refregirateur 550 L Inox, Top Mounted Freezer (A+);0;163.0;3.0;377.0;125.0;0
P560CDN; Refregirateur 560 L  Inox 4 Portes Cross Door, Twin Eco Inverter (A+);0;27.0;0;13.0;0;0
P575FDN;REFREGIRATEUR 575L INOX FRENCH DOOR TWIN ECO INVERTER A+;0;9.0;4.0;5.0;12.0;0
P605TM;  Refregirateur 605 L Inox, Top Mounted Freezer (A+);0;17.0;5.0;46.0;2.0;0
P605TM/SAC;Refregirateur 605 L Inox, Top Mounted Freezer (A+) SAC;0;5.0;0;43.0;2.0;0
P607FLG;Lave-linge 7Kg - 1400 Tr | Inverter BLDC | Gris;0;24.0;20.0;91.0;11.0;0
P607FLW;Lave-linge 7Kg | 1400 Tr | Inverter BLDC | Blanc;0;19.0;1.0;104.0;3.0;0
P608FLG;Lave-linge 8Kg | 1400 Tr | Inverter BLDC | Gris;0;17.0;8.0;121.0;28.0;0
P608FLW;Lave-linge 8Kg | 1400 Tr | Inverter BLDC |Blanc;0;5.0;2.0;50.0;3.0;0
P635SBN;  Refregirateur 635 L Inox Side by Side, Twin Eco Inverter (A+);0;53.0;0;20.0;3.0;0
P700TM;  Refregirateur 700 L Inox, Top Mounted Freezer (A+);0;15.0;3.0;68.0;0;0
P787TM;  Refregirateur 787 L Inox, Distributeur d'eau, Twin Eco Inverter (A+);0;4.0;0;2.0;2.0;0
P790SBN;  Refregirateur 790 L Inox Side by Side, Twin Eco Inverter (A+);0;20.0;4.0;19.0;3.0;0
QA55Q60TAUXBM-BISMA;TV QLED 55'' Q60T - BISMA;0;0;2.0;12.0;0;0
QA55Q70AAUCBM-BISMA;"TELEVISEUR QLED 55"" SMART  SERIE 70A - BISMA";0;0;2.0;0;7.0;0
QA55Q70BAUSB-BISMA;"TV QLED 55"" SERIE B 4K UHD SMART MIB - BISMA";0;50.0;0;51.0;4.0;0
QA55Q70BAUSBM-BISMA;"TV 55"" SERIE B QLED UHD 4K SMART MIB - BISMA";0;0;0;2.0;0;0
QA55Q70TAUXBM-BISMA;"TELEVISEUR QLED 55"" SMART  SERIE 70T  - BISMA";0;0;2.0;7.0;2.0;0
QA65Q60RASXMV-BISMA;"TELEVISEUR QLED 65"" serie 60R - BISMA";0;0;0;1.0;0;0
QA65Q70AAUCBM-BISMA;TV SAMSUNG QLED 65 4K UHD Q70A - BISMA;0;0;0;0;0;0
QA65Q70BAUSBM-BISMA;"TV 65"" SERIE B QLED UHD 4K SMART MIB - BISMA";0;0;0;1.0;0;0
QA75Q800TAUXMV-BISMA;"TELEVISEUR 8K QLED 75"" Quantum dots 4K HDR10+  - BISMA";0;0;0;1.0;0;0
RRR;Rabais remises ristournes;0;0;0;0;0;0
RT49K5532S8-BISMA;REF 490L INOX TWIN COOLING MIB - BISMA;0;0;0;2.0;0;0
RT59K6131WW-BISMA;590 LITRES BLANC TWIN COOLING - BISMA;0;0;0;2.0;0;0
RT59K6231S8/BK-BISMA;590 LITRES INOX TWIN COOLING - BISMA;0;0;0;1.0;0;0
TAC-09CHSA/XA73I;Climatiseur  9000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-09CHSA/XA73I-INDOOR;Climatiseur  9000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;121.0;45.0;22.0;13.0;0
