Désignation;Référence;code article;UM;Stock initial;Réceptions;Production;Stock Final;SHORTAGE
TVCKD;UA55CU8000USBM;;PCS; - ; - ; - ; - ; 3 
TVCKD;UA58AU7000UCBM;;PCS; - ; - ; - ; - ; 4 
TVCKD;UA58CU7000UCBM;;PCS; - ; - ; - ; - ; 4 
TVCKD;UA65AU7000UCBM;;PCS; - ; - ; - ; - ; 20 
TVCKD;UA65BU8000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA65CU7000UCBM;;PCS; - ; - ; - ; - ; 3 
TVCKD;UA65CU8000USBM;;PCS; - ; - ; - ; - ; 11 
TVCKD;UA75CU7000UCBM;;PCS; - ; - ; - ; - ; 1 
TVCKD;QA85QN800BUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA65Q80CAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA65QN90CAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA75QN90CAUSBM;;PCS; - ; - ; - ; - ; 1 
TVCKD;UA55DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA65DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA75DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA55QN90DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA65QN90DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA75Q70DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA85QN800DUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA85QN90DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA85DU8000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA65Q70DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA60DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA43DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA50DU7000USBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA55Q70DAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA43F6000FUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA55QN90FAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA55S85FAESBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA65S85FAESBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA77S85FAESBM;;PCS; - ; - ; - ; - ;  -  
WM;WA70H4200SWOBS;;PCS; - ; - ; - ; - ;  -  
WM;WA70H4200SYOBS;;PCS; 1 560 ; - ; 1 560 ; - ;  -  
WM;WA90T5260BYOBS;;PCS; 1 200 ; - ; 975 ; 225 ;  -  
