Product;Description;RDC Alger BISMA;RDC Annaba BISMA;RDC Annaba BISMA;RDC Eulma BISMA;RDC Oran BISMA;SARL BISMA DISTRIBUTION
;;401 / Stock;404 / Declasser;404 / Stock;402 / Stock;403 / Stock;BSM / Stock
TAC-12CHSA/XA73I;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-12CHSA/XA81;Climatiseur  12000 BTU INVERTER;0;0;0;0;0;0
TAC-12CHSA/XAA1;Climatiseur  12000 BTU ON/OFF;0;0;0;0;0;0
TAC-12CHSA/XAA1T;Climatiseur  12000 on/off T3 TROPICAL ;0;0;0;0;0;0
TAC-18CHSA/TPH11;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé);0;0;0;0;0;0
TAC-18CHSA/XA73I;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-18CHSA/XA81;Climatiseur  18000 BTU INVERTER;0;0;0;0;0;0
TAC-18CHSA/XAA1;Climatiseur  18000 BTU ON/OFF;0;0;0;0;0;0
TAC-18CHSA/XAA1T;Climatiseur  18000 on/off T3 TROPICAL;0;0;0;0;0;0
TAC-24CHSA/XA73I;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-24CHSA/XA81;Climatiseur  24000 BTU INVERTER;0;0;0;0;0;0
TAC-24CHSA/XAA1;Climatiseur  24000 BTU ON/OFF;0;0;0;0;0;0
TAC-24CHSA/XAA1T;Climatiseur  24000 on/off T3 TROPICAL;0;0;0;0;0;0
TAC-36CHFA/FHI;Climatiseur TCL Armoire  36000 btu  Inverter;0;0;0;0;0;0
TAC-42CHFA/FHI;Climatiseur TCL Armoire  42000 btu  Inverter;0;0;0;0;0;0
TAC-60CHFA/FDI;Climatiseur TCL Armoire  60000 btu  Inverter;0;0;0;0;0;0
DW60H6050FS;LAVE VAISSELLE SAMSUNG;0;1;0;0;0;0
QA65Q70DAU;TELEVISEUR SAMSUNG QLED 65" SMART S7;0;1;0;0;0;0
RT71K7140SL;REFREGIRATEUR SAMSUNG 710L;0;1;0;0;0;0
TAC-09CHSA/XA73I-INDOOR;Climatiseur  9000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;0;0;0;0;0
TAC-09CHSA/XA73I-OUTDOOR;Climatiseur  9000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;2;0;1;0;0;0
TAC-12CHSA/TPH11-INDOOR;Climatiseur  12000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-INDOOR;0;0;0;8;1;0
TAC-12CHSA/TPH11-OUTDOOR;Climatiseur  12000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-OUTDOOR;0;0;1;8;1;0
TAC-12CHSA/XA73I-INDOOR;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;0;1;221;0;0
TAC-12CHSA/XA73I-OUTDOOR;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;0;1;0;0;0
TAC-12CHSA/XA81-INDOOR;Climatiseur  12000 BTU INVERTER-INDOOR;0;0;0;1;0;0
TAC-12CHSA/XA81-OUTDOOR;Climatiseur  12000 BTU INVERTER-OUTDOOR;0;0;0;1;0;0
TAC-12CHSA/XAA1-INDOOR;Climatiseur  12000 BTU ON/OFF-INDOOR;0;0;0;11;0;0
TAC-12CHSA/XAA1-OUTDOOR;Climatiseur  12000 BTU ON/OFF-OUTDOOR;0;0;0;0;0;0
TAC-12CHSA/XAA1T-INDOOR;Climatiseur  12000 on/off T3 TROPICAL-INDOOR;0;0;0;80;30;0
TAC-12CHSA/XAA1T-OUTDOOR;Climatiseur  12000 on/off T3 TROPICAL-OUTDOOR;0;0;9;87;30;0
TAC-18CHSA/TPH11-INDOOR;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-INDOOR;18;0;0;210;6;0
TAC-18CHSA/TPH11-OUTDOOR;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-OUTDOOR;18;0;0;206;6;0
TAC-18CHSA/XA73I-INDOOR;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;2;43;75;54;0
TAC-18CHSA/XA73I-OUTDOOR;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;2;33;79;54;0
TAC-18CHSA/XA81-INDOOR;Climatiseur  18000 BTU INVERTER-INDOOR;0;0;0;0;1;0
TAC-18CHSA/XA81-OUTDOOR;Climatiseur  18000 BTU INVERTER-OUTDOOR;0;0;0;0;1;0
TAC-18CHSA/XAA1-INDOOR;Climatiseur  18000 BTU ON/OFF-INDOOR;37;1;49;1123;44;0
TAC-18CHSA/XAA1-OUTDOOR;Climatiseur  18000 BTU ON/OFF-OUTDOOR;37;1;49;1081;44;0
TAC-18CHSA/XAA1T-INDOOR;Climatiseur  18000 on/off T3 TROPICAL-INDOOR;0;1;0;0;1;0
TAC-18CHSA/XAA1T-OUTDOOR;Climatiseur  18000 on/off T3 TROPICAL-OUTDOOR;0;1;7;8;1;0
TAC-24CHSA/XA73I-INDOOR;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;0;3;44;2;0
TAC-24CHSA/XA73I-OUTDOOR;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;0;3;44;2;0
TAC-24CHSA/XA81-INDOOR;Climatiseur  24000 BTU INVERTER-INDOOR;1;0;1;31;1;0
TAC-24CHSA/XA81-OUTDOOR;Climatiseur  24000 BTU INVERTER-OUTDOOR;1;0;1;31;1;0
TAC-24CHSA/XAA1-INDOOR;Climatiseur  24000 BTU ON/OFF-INDOOR;0;0;0;0;0;0
TAC-24CHSA/XAA1-OUTDOOR;Climatiseur  24000 BTU ON/OFF-OUTDOOR;0;0;0;0;0;0
TAC-24CHSA/XAA1T-INDOOR;Climatiseur  24000 on/off T3 TROPICAL-INDOOR;71;0;18;258;0;0
TAC-24CHSA/XAA1T-OUTDOOR;Climatiseur  24000 on/off T3 TROPICAL-OUTDOOR;71;0;18;189;0;0
TAC-36CHFA/FHI-INDOOR;Climatiseur TCL Armoire  36000 btu  Inverter  -INDOOR;0;0;0;0;0;0
TAC-36CHFA/FHI-OUTDOOR;Climatiseur TCL Armoire  36000 btu  Inverter  -OUTDOOR;0;0;0;2;0;0
TAC-42CHFA/FHI-INDOOR;Climatiseur TCL Armoire  42000 btu  Inverter  -INDOOR;0;0;0;0;0;0
TAC-42CHFA/FHI-OUTDOOR;Climatiseur TCL Armoire  42000 btu  Inverter  -OUTDOOR;0;0;0;0;0;0
TAC-60CHFA/FDI-INDOOR;Climatiseur TCL Armoire  60000 btu  Inverter  -INDOOR;0;0;0;1;0;0
TAC-60CHFA/FDI-OUTDOOR;Climatiseur TCL Armoire  60000 btu  Inverter  -OUTDOOR;0;0;0;1;0;0
UA32N5000ASCBM-BISMA;LED 32 " FHD - BISMA;0;2;10;78;0;0
UA32T5300AUCBM-BISMA;TELEVISEUR LED 32" HD S5 SMART - BISMA;0;2;0;4;9;0
UA43N5000ASCBM-BISMA;TV 43 FHD - BISMA;0;0;0;2;0;0
UA43T5300AUCBM-BISMA;LED 43 FHD SMART - BISMA;0;9;2;2;0;0
UA50AU7000U-BISMA;TELEVISEUR LED 50" UHD S7 SMART - BISMA;0;1;0;1;0;0
UA50AU7000UCBM-BISMA;TV 50'' CRYSTAL UHD 4K SMART MIB  - BISMA;0;0;103;0;0;0
UA58TU7000UXBM-BISMA;LED 58'' Crystal  - BISMA;0;0;0;0;0;0
UA65AU7000U-BISMA;UA65AU7000U Téléviseur Samsung LED 65" UHD S7 SMART  - BISMA;0;4;1;0;0;0
UA65RU7100SCBM-BISMA;TELEVISEUR LED 65" SMART 4K - BISMA;0;0;4;0;0;0
VC18M3110VB/BM-BISMA;ASPIRATEUR SAMSUNG CYCLONE FORCE - BISMA;0;0;0;1;0;0
VCC8830V3R;VACCUM CLEANER 2200W;0;1;0;0;0;0
WD10J6410AS/BS-BISMA;M LAVER 10.2 KG LAVANTE / SECHANTE ( 6KG ) - BISMA;0;2;0;1;0;0
WW10J5260GW;MACHINE A LAVER SAMSUNG10.2KG BLANCHE;0;1;0;0;0;0
